Tensor_id,ActiveTime,InactiveTime
0,927,2
1,2,927
3,3,926
4,1,928
5,922,7
6,4,925
8,2,927
9,1,928
10,1,928
11,923,6
12,923,6
13,1,928
14,1,928
15,1,928
16,1,928
19,2,927
20,2,927
22,3,926
23,3,926
24,913,16
25,4,925
27,2,927
28,1,928
29,1,928
30,914,15
31,914,15
32,1,928
33,1,928
34,1,928
35,1,928
38,2,927
39,2,927
41,3,926
42,3,926
43,904,25
44,4,925
46,2,927
47,1,928
48,1,928
49,905,24
50,905,24
51,1,928
52,1,928
53,1,928
54,1,928
57,2,927
58,898,31
59,2,927
60,2,927
62,3,926
63,3,926
64,893,36
65,4,925
67,2,927
68,1,928
69,1,928
70,894,35
71,894,35
72,1,928
73,1,928
74,1,928
75,1,928
78,2,927
79,2,927
81,3,926
82,3,926
83,884,45
84,4,925
86,2,927
87,1,928
88,1,928
89,885,44
90,885,44
91,1,928
92,1,928
93,1,928
94,1,928
97,2,927
98,877,52
99,2,927
100,2,927
102,3,926
103,4,925
104,872,57
105,4,925
107,2,927
108,1,928
109,1,928
110,873,56
111,873,56
112,1,928
113,1,928
114,1,928
115,1,928
118,2,927
119,2,927
121,3,926
122,9,920
123,863,66
124,4,925
126,2,927
127,1,928
128,1,928
129,864,65
130,864,65
131,1,928
132,1,928
133,1,928
134,1,928
137,2,927
138,2,927
140,3,926
141,3,926
142,854,75
143,4,925
145,2,927
146,1,928
147,1,928
148,855,74
149,855,74
150,1,928
151,1,928
152,1,928
153,1,928
156,2,927
157,2,927
159,3,926
160,21,908
161,845,84
162,4,925
164,2,927
165,1,928
166,1,928
167,846,83
168,846,83
169,1,928
170,1,928
171,1,928
172,1,928
175,2,927
176,2,927
178,3,926
179,3,926
180,836,93
181,4,925
183,2,927
184,1,928
185,1,928
186,837,92
187,837,92
188,1,928
189,1,928
190,1,928
191,1,928
194,2,927
195,2,927
197,3,926
198,3,926
199,827,102
200,4,925
202,2,927
203,1,928
204,1,928
205,828,101
206,828,101
207,1,928
208,1,928
209,1,928
210,1,928
213,2,927
214,821,108
215,38,891
216,2,927
218,3,926
219,3,926
220,816,113
221,4,925
223,2,927
224,1,928
225,1,928
226,817,112
227,817,112
228,1,928
229,1,928
230,1,928
231,1,928
234,2,927
235,39,890
236,27,902
237,9,920
238,2,927
239,809,120
240,2,927
242,3,926
243,4,925
244,804,125
245,4,925
247,2,927
248,1,928
249,1,928
250,805,124
251,805,124
252,1,928
253,1,928
254,1,928
255,1,928
258,2,927
259,2,927
261,3,926
262,9,920
263,795,134
264,4,925
266,2,927
267,1,928
268,1,928
269,796,133
270,796,133
271,1,928
272,1,928
273,1,928
274,1,928
277,2,927
278,2,927
280,3,926
281,3,926
282,786,143
283,4,925
285,2,927
286,1,928
287,1,928
288,787,142
289,787,142
290,1,928
291,1,928
292,1,928
293,1,928
296,2,927
297,2,927
299,3,926
300,21,908
301,777,152
302,4,925
304,2,927
305,1,928
306,1,928
307,778,151
308,778,151
309,1,928
310,1,928
311,1,928
312,1,928
315,2,927
316,2,927
318,3,926
319,3,926
320,768,161
321,4,925
323,2,927
324,1,928
325,1,928
326,769,160
327,769,160
328,1,928
329,1,928
330,1,928
331,1,928
334,2,927
335,2,927
337,3,926
338,3,926
339,759,170
340,4,925
342,2,927
343,1,928
344,1,928
345,760,169
346,760,169
347,1,928
348,1,928
349,1,928
350,1,928
353,2,927
354,753,176
355,38,891
356,2,927
358,3,926
