Size_MB,Lifetime
1047.67,927
2775.12,2
0.00390625,3
1047.67,1
2775.12,922
2775.12,4
0.00390625,2
0.00390625,1
0.00390625,1
2775.12,923
0.00390625,923
0.00390625,1
0.00390625,1
2775.12,1
0.00390625,1
2775.12,2
2701.12,2
0.0351562,3
2775.12,3
2701.12,913
2701.12,4
0.00390625,2
0.00390625,1
0.00390625,1
2701.12,914
0.00390625,914
0.00390625,1
0.00390625,1
2701.12,1
0.00390625,1
2701.12,2
5402.25,2
0.0703125,3
2701.12,3
5402.25,904
5402.25,4
0.00390625,2
0.00390625,1
0.00390625,1
5402.25,905
0.00390625,905
0.00390625,1
0.00390625,1
5402.25,1
0.00390625,1
5402.25,2
1332.25,898
5402.25,2
1665.31,2
0.0195312,3
1332.25,3
1665.31,893
1665.31,4
0.00390625,2
0.00390625,1
0.00390625,1
1665.31,894
0.00390625,894
0.00390625,1
0.00390625,1
1665.31,1
0.00390625,1
1665.31,2
3780.75,2
0.527344,3
1665.31,3
3780.75,884
3780.75,4
0.00390625,2
0.00390625,1
0.00390625,1
3780.75,885
0.00390625,885
0.00390625,1
0.00390625,1
3780.75,1
0.00390625,1
3780.75,2
918.75,877
3780.75,2
306.25,2
0.046875,3
918.75,4
306.25,872
306.25,4
0.00390625,2
0.00390625,1
0.00390625,1
306.25,873
0.00390625,873
0.00390625,1
0.00390625,1
306.25,1
0.00390625,1
306.25,2
229.688,2
0.0351562,3
918.75,9
229.688,863
229.688,4
0.00390625,2
0.00390625,1
0.00390625,1
229.688,864
0.00390625,864
0.00390625,1
0.00390625,1
229.688,1
0.00390625,1
229.688,2
306.25,2
0.292969,3
229.688,3
306.25,854
306.25,4
0.00390625,2
0.00390625,1
0.00390625,1
306.25,855
0.00390625,855
0.00390625,1
0.00390625,1
306.25,1
0.00390625,1
306.25,2
306.25,2
0.046875,3
918.75,21
306.25,845
306.25,4
0.00390625,2
0.00390625,1
0.00390625,1
306.25,846
0.00390625,846
0.00390625,1
0.00390625,1
306.25,1
0.00390625,1
306.25,2
459.375,2
0.210938,3
306.25,3
459.375,836
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,837
0.00390625,837
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
459.375,2
0.316406,3
459.375,3
459.375,827
459.375,4
0.00390625,2
0.00390625,1
0.00390625,1
459.375,828
0.00390625,828
0.00390625,1
0.00390625,1
459.375,1
0.00390625,1
459.375,2
918.75,821
918.75,38
153.125,2
0.0234375,3
918.75,3
153.125,816
153.125,4
0.00390625,2
0.00390625,1
0.00390625,1
153.125,817
0.00390625,817
0.00390625,1
0.00390625,1
