Size_MB,Lifetime
1178.63,927
3122.02,2
0.00390625,3
1178.63,1
3122.02,922
3122.02,4
0.00390625,2
0.00390625,1
0.00390625,1
3122.02,923
0.00390625,923
0.00390625,1
0.00390625,1
3122.02,1
0.00390625,1
3122.02,2
3038.77,2
0.0351562,3
3122.02,3
3038.77,913
3038.77,4
0.00390625,2
0.00390625,1
0.00390625,1
3038.77,914
0.00390625,914
0.00390625,1
0.00390625,1
3038.77,1
0.00390625,1
3038.77,2
6077.53,2
0.0703125,3
3038.77,3
6077.53,904
6077.53,4
0.00390625,2
0.00390625,1
0.00390625,1
6077.53,905
0.00390625,905
0.00390625,1
0.00390625,1
6077.53,1
0.00390625,1
6077.53,2
1498.78,898
6077.53,2
1873.48,2
0.0195312,3
1498.78,3
1873.48,893
1873.48,4
0.00390625,2
0.00390625,1
0.00390625,1
1873.48,894
0.00390625,894
0.00390625,1
0.00390625,1
1873.48,1
0.00390625,1
1873.48,2
4253.34,2
0.527344,3
1873.48,3
4253.34,884
4253.34,4
0.00390625,2
0.00390625,1
0.00390625,1
4253.34,885
0.00390625,885
0.00390625,1
0.00390625,1
4253.34,1
0.00390625,1
4253.34,2
1033.59,877
4253.34,2
344.531,2
0.046875,3
1033.59,4
344.531,872
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,873
0.00390625,873
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
258.398,2
0.0351562,3
1033.59,9
258.398,863
258.398,4
0.00390625,2
0.00390625,1
0.00390625,1
258.398,864
0.00390625,864
0.00390625,1
0.00390625,1
258.398,1
0.00390625,1
258.398,2
344.531,2
0.292969,3
258.398,3
344.531,854
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,855
0.00390625,855
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
344.531,2
0.046875,3
1033.59,21
344.531,845
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,846
0.00390625,846
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
516.797,2
0.210938,3
344.531,3
516.797,836
516.797,4
0.00390625,2
0.00390625,1
0.00390625,1
516.797,837
0.00390625,837
0.00390625,1
0.00390625,1
516.797,1
0.00390625,1
516.797,2
516.797,2
0.316406,3
516.797,3
516.797,827
516.797,4
0.00390625,2
0.00390625,1
0.00390625,1
516.797,828
0.00390625,828
0.00390625,1
0.00390625,1
516.797,1
0.00390625,1
516.797,2
1033.59,821
1033.59,38
172.266,2
0.0234375,3
1033.59,3
172.266,816
172.266,4
0.00390625,2
0.00390625,1
0.00390625,1
172.266,817
0.00390625,817
0.00390625,1
0.00390625,1
172.266,1
0.00390625,1
172.266,2
344.531,39
344.531,27
516.797,9
172.266,2
1378.12,809
344.531,2
0.0625,3
1378.12,4
344.531,804
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,805
0.00390625,805
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
258.398,2
0.046875,3
1378.12,9
258.398,795
258.398,4
0.00390625,2
0.00390625,1
0.00390625,1
258.398,796
0.00390625,796
0.00390625,1
0.00390625,1
258.398,1
0.00390625,1
258.398,2
344.531,2
0.292969,3
258.398,3
344.531,786
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,787
0.00390625,787
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
344.531,2
0.0625,3
1378.12,21
344.531,777
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,778
0.00390625,778
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
516.797,2
0.210938,3
344.531,3
516.797,768
516.797,4
0.00390625,2
0.00390625,1
0.00390625,1
516.797,769
0.00390625,769
0.00390625,1
0.00390625,1
516.797,1
0.00390625,1
516.797,2
516.797,2
0.316406,3
516.797,3
516.797,759
516.797,4
0.00390625,2
0.00390625,1
0.00390625,1
516.797,760
0.00390625,760
0.00390625,1
0.00390625,1
516.797,1
0.00390625,1
516.797,2
1378.12,753
1378.12,38
344.531,2
0.0625,3
1378.12,3
344.531,748
344.531,4
0.00390625,2
0.00390625,1
0.00390625,1
344.531,749
0.00390625,749
0.00390625,1
0.00390625,1
344.531,1
0.00390625,1
344.531,2
344.531,39
344.531,27
516.797,9
344.531,2
1550.39,741
344.531,2
0.0703125,3
